                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    115,                0.60982,                0.47204,                 1.0612,                0.86172,                0.74818,                0.81606,                0.65858,                0.88002,                0.91192,                 1.3459,             0.00062262,             0.00062262,             0.00062262
                    116,                0.58778,                0.45354,                 1.0303,                0.81165,                0.77899,                0.82236,                0.66092,                0.86142,                 0.8529,                 1.3031,             0.00061554,             0.00061554,             0.00061554
                    117,                0.59334,                0.45597,                 1.0275,                0.81136,                0.76461,                0.78997,                0.64472,                0.88504,                0.97378,                 1.3289,             0.00060847,             0.00060847,             0.00060847
                    118,                0.58521,                0.47668,                  1.038,                0.88288,                0.75329,                0.81646,                0.66546,                0.88306,                0.97315,                 1.2984,             0.00060139,             0.00060139,             0.00060139
                    119,                0.58101,                0.45883,                 1.0303,                0.82792,                0.79094,                0.83028,                 0.6848,                 0.8194,                0.85378,                 1.2629,             0.00059432,             0.00059432,             0.00059432
                    120,                0.59703,                0.47022,                 1.0505,                0.92357,                0.75886,                0.82897,                0.68531,                0.83111,                0.86633,                 1.2796,             0.00058725,             0.00058725,             0.00058725
                    121,                0.55038,                0.44883,                 1.0343,                0.86651,                0.77573,                0.83146,                0.66389,                0.89213,                0.89397,                 1.3111,             0.00058017,             0.00058017,             0.00058017
                    122,                0.58233,                0.45679,                 1.0321,                 0.9081,                0.75303,                0.82628,                0.67974,                0.86723,                0.90734,                 1.2965,              0.0005731,              0.0005731,              0.0005731
                    123,                0.56096,                0.44743,                 1.0306,                0.86984,                0.75491,                0.81235,                0.67071,                0.88101,                0.95738,                  1.317,             0.00056603,             0.00056603,             0.00056603
                    124,                0.55333,                0.43271,                 1.0337,                0.83191,                0.75067,                0.80773,                0.65481,                0.91813,                   1.09,                 1.3717,             0.00055895,             0.00055895,             0.00055895
                    125,                0.59146,                0.46004,                 1.0203,                 0.8227,                0.74696,                0.80972,                0.65773,                0.85793,                 1.1018,                 1.3172,             0.00055188,             0.00055188,             0.00055188
                    126,                0.55715,                0.43603,                  1.028,                0.80041,                0.79021,                0.82644,                0.66199,                0.86171,                0.96669,                  1.289,             0.00054481,             0.00054481,             0.00054481
                    127,                0.53989,                0.44966,                 1.0162,                 0.8368,                0.74032,                 0.8031,                0.65417,                0.87342,                0.91177,                 1.3081,             0.00053773,             0.00053773,             0.00053773
                    128,                 0.5499,                0.44215,                 1.0331,                0.89189,                0.70271,                0.79321,                0.63775,                0.89126,                0.95909,                 1.3425,             0.00053066,             0.00053066,             0.00053066
                    129,                 0.5724,                0.45609,                 1.0317,                0.89419,                0.73488,                 0.8105,                0.66471,                0.83915,                0.91219,                 1.2856,             0.00052359,             0.00052359,             0.00052359
                    130,                 0.5635,                0.42104,                 1.0255,                0.81888,                0.78942,                0.81584,                0.67117,                0.83807,                 0.9083,                 1.2839,             0.00051651,             0.00051651,             0.00051651
                    131,                0.57359,                0.44522,                 1.0244,                0.91917,                0.74419,                0.83043,                 0.6779,                0.83478,                0.84125,                 1.2856,             0.00050944,             0.00050944,             0.00050944
                    132,                0.53404,                0.42782,                 1.0431,                0.85792,                0.75563,                0.79754,                0.65934,                0.86507,                0.88129,                 1.3272,             0.00050236,             0.00050236,             0.00050236
                    133,                0.53256,                0.40879,                 1.0126,                0.89324,                0.72123,                0.79281,                0.64841,                0.90459,                0.94433,                 1.3506,             0.00049529,             0.00049529,             0.00049529
                    134,                0.56328,                0.43518,                 1.0212,                0.87175,                0.77403,                  0.813,                0.67047,                  0.861,                0.90078,                 1.2703,             0.00048822,             0.00048822,             0.00048822
                    135,                0.54661,                0.41723,                  1.001,                0.87403,                0.79089,                0.82043,                0.67003,                0.80678,                0.87156,                 1.2337,             0.00048114,             0.00048114,             0.00048114
                    136,                0.53628,                0.42009,                0.99369,                0.83579,                0.77422,                0.80336,                0.65518,                0.83611,                0.88245,                 1.2611,             0.00047407,             0.00047407,             0.00047407
                    137,                0.56627,                 0.4374,                 1.0444,                0.82328,                0.77357,                0.79944,                0.65857,                0.83589,                0.93285,                 1.2582,               0.000467,               0.000467,               0.000467
                    138,                 0.5322,                0.42008,                 1.0053,                0.84062,                0.73789,                0.79529,                0.65566,                0.86838,                0.98443,                 1.2988,             0.00045992,             0.00045992,             0.00045992
                    139,                0.54299,                 0.4268,                 1.0046,                0.88631,                 0.7461,                0.80532,                0.64732,                0.90038,                  0.932,                 1.3273,             0.00045285,             0.00045285,             0.00045285
                    140,                0.51566,                0.39092,                 1.0228,                0.87255,                0.78994,                0.82132,                0.66043,                0.90184,                0.94208,                  1.307,             0.00044578,             0.00044578,             0.00044578
                    141,                0.53543,                0.42421,                 1.0092,                0.87251,                0.73396,                0.80511,                0.64815,                0.87093,                0.97189,                 1.3094,              0.0004387,              0.0004387,              0.0004387
                    142,                0.52554,                0.41119,                 1.0076,                 0.8443,                0.72468,                0.78896,                0.63789,                0.86848,                 1.0149,                 1.3259,             0.00043163,             0.00043163,             0.00043163
                    143,                0.50502,                0.39594,                 1.0102,                0.87239,                0.77492,                0.83061,                 0.6727,                0.86444,                0.84463,                 1.3452,             0.00042456,             0.00042456,             0.00042456
                    144,                0.50465,                0.40016,                 1.0078,                0.82605,                0.79895,                0.83417,                0.67412,                0.82846,                0.78567,                 1.2868,             0.00041748,             0.00041748,             0.00041748
                    145,                0.51638,                0.39727,                  1.001,                0.92124,                0.70286,                0.82427,                0.66197,                0.81322,                0.82979,                  1.251,             0.00041041,             0.00041041,             0.00041041
                    146,                0.53504,                0.42078,                 1.0116,                0.79846,                0.74996,                0.80893,                0.65195,                0.82666,                0.92665,                 1.2545,             0.00040334,             0.00040334,             0.00040334
                    147,                  0.536,                0.40648,                0.99566,                0.73767,                 0.7435,                0.77852,                0.63372,                 0.8671,                 1.0423,                 1.3056,             0.00039626,             0.00039626,             0.00039626
                    148,                0.52093,                0.41497,                 1.0222,                 0.8674,                0.65251,                0.76964,                0.63554,                0.88874,                 1.1043,                 1.3397,             0.00038919,             0.00038919,             0.00038919
